catalog_id,play_console_name,cgk_id
first_clear,FIRST CLEAR,
clears_bronze,ONE MORE LEVEL BRONZE,
clears_silver,ONE MORE LEVEL SILVER,
clears_gold,ONE MORE LEVEL GOLD,
first_hard,HARD START,
no_hint_clear,NO SPOILERS BRONZE,
hint_saver,NO SPOILERS SILVER,
no_hint_gold,NO SPOILERS GOLD,
on_time_bronze,TICK TOCK BRONZE,
on_time_silver,TICK TOCK SILVER,
on_time_gold,TICK TOCK GOLD,
easy_set,EASY DOES IT,
medium_set,MIDDLE MAN,
hard_set,HARD KNOCKS,
three_star_debut,THREE STAR DEBUT,
undo_nothing,UNDO NOTHING,
ad_friend,AD FRIEND,
im_blue,I'M BLUE,
shall_not_pass,YOU SHALL NOT PASS,
rules_reader,RULES READER,
purple_rain,PURPLE RAIN,
yellow_submarine,YELLOW SUBMARINE,
pause_thinker,PAUSE THINKER,
